Organism_Name,Month,FY,Total_Specimens,CO_Specimens,HO_Specimens,Mon_Pop,Mon_Total_Pop_Rate,Mon_HO_Pop_Rate,Mon_Adm,Mon_Total_Adm_Rate,Mon_HO_Adm_Rate
S. aureus bacteraemia,Jan,2020/21,75,39,36,269197.71508,27.86,13.37,27268,2.75,1.32
C. difficile,Jan,2021/22,60,29,31,263747.15068,22.75,11.75,31943,1.88,0.97
E. coli bacteraemia,Jan,2021/22,153,111,42,263747.15068,58.01,15.92,31943,4.79,1.31
Gram negative bacteraemia,Jan,2021/22,203,137,66,263747.15068,76.97,25.02,31943,6.36,2.07
Klebsiella sp bacteraemia,Jan,2021/22,40,20,20,263747.15068,15.17,7.58,31943,1.25,0.63
MRSA bacteraemia,Jan,2021/22,3,3,0,263747.15068,1.14,0.0,31943,0.09,0.0
MSSA bacteraemia,Jan,2021/22,73,47,26,263747.15068,27.68,9.86,31943,2.29,0.81
P. aeruginosa bacteraemia,Jan,2021/22,10,6,4,263747.15068,3.79,1.52,31943,0.31,0.13
S. aureus bacteraemia,Jan,2021/22,76,50,26,263747.15068,28.82,9.86,31943,2.38,0.81
C. difficile,Jan,2022/23,101,49,52,265974.90411,37.97,19.55,35612,2.84,1.46
E. coli bacteraemia,Jan,2022/23,165,112,53,265974.90411,62.04,19.93,35612,4.63,1.49
Gram negative bacteraemia,Jan,2022/23,234,150,84,265974.90411,87.98,31.58,35612,6.57,2.36
Klebsiella sp bacteraemia,Jan,2022/23,58,31,27,265974.90411,21.81,10.15,35612,1.63,0.76
MRSA bacteraemia,Jan,2022/23,8,5,3,265974.90411,3.01,1.13,35612,0.22,0.08
MSSA bacteraemia,Jan,2022/23,68,35,33,265974.90411,25.57,12.41,35612,1.91,0.93
P. aeruginosa bacteraemia,Jan,2022/23,11,7,4,265974.90411,4.14,1.5,35612,0.31,0.11
S. aureus bacteraemia,Jan,2022/23,76,40,36,265974.90411,28.57,13.54,35612,2.13,1.01
C. difficile,Jan,2023/24,104,51,53,268757.60001,38.7,19.72,39432,2.64,1.34
E. coli bacteraemia,Jan,2023/24,167,132,35,268757.60001,62.14,13.02,39432,4.24,0.89
Gram negative bacteraemia,Jan,2023/24,239,181,58,268757.60001,88.93,21.58,39432,6.06,1.47
Klebsiella sp bacteraemia,Jan,2023/24,59,41,18,268757.60001,21.95,6.7,39432,1.5,0.46
MRSA bacteraemia,Jan,2023/24,6,5,1,268757.60001,2.23,0.37,39432,0.15,0.03
MSSA bacteraemia,Jan,2023/24,80,54,26,268757.60001,29.77,9.67,39432,2.03,0.66
P. aeruginosa bacteraemia,Jan,2023/24,13,8,5,268757.60001,4.84,1.86,39432,0.33,0.13
S. aureus bacteraemia,Jan,2023/24,86,59,27,268757.60001,32.0,10.05,39432,2.18,0.68
C. difficile,Jan,2024/25,112,46,66,268023.28961,41.79,24.62,38118,2.94,1.73
E. coli bacteraemia,Jan,2024/25,181,136,45,268023.28961,67.53,16.79,38118,4.75,1.18
Gram negative bacteraemia,Jan,2024/25,245,168,77,268023.28961,91.41,28.73,38118,6.43,2.02
Klebsiella sp bacteraemia,Jan,2024/25,55,28,27,268023.28961,20.52,10.07,38118,1.44,0.71
MRSA bacteraemia,Jan,2024/25,10,7,3,268023.28961,3.73,1.12,38118,0.26,0.08
MSSA bacteraemia,Jan,2024/25,77,49,28,268023.28961,28.73,10.45,38118,2.02,0.73
P. aeruginosa bacteraemia,Jan,2024/25,9,4,5,268023.28961,3.36,1.87,38118,0.24,0.13
S. aureus bacteraemia,Jan,2024/25,87,56,31,268023.28961,32.46,11.57,38118,2.28,0.81
C. difficile,Jul,2020/21,75,37,38,269197.71508,27.86,14.12,29879,2.51,1.27
E. coli bacteraemia,Jul,2020/21,209,164,45,269197.71508,77.64,16.72,29879,6.99,1.51
Gram negative bacteraemia,Jul,2020/21,270,196,74,269197.71508,100.3,27.49,29879,9.04,2.48
Klebsiella sp bacteraemia,Jul,2020/21,45,25,20,269197.71508,16.72,7.43,29879,1.51,0.67
MRSA bacteraemia,Jul,2020/21,4,2,2,269197.71508,1.49,0.74,29879,0.13,0.07
MSSA bacteraemia,Jul,2020/21,63,41,22,269197.71508,23.4,8.17,29879,2.11,0.74
P. aeruginosa bacteraemia,Jul,2020/21,16,7,9,269197.71508,5.94,3.34,29879,0.54,0.3
S. aureus bacteraemia,Jul,2020/21,67,43,24,269197.71508,24.89,8.92,29879,2.24,0.8
C. difficile,Jul,2021/22,114,58,56,263747.15068,43.22,21.23,35906,3.17,1.56
E. coli bacteraemia,Jul,2021/22,196,147,49,263747.15068,74.31,18.58,35906,5.46,1.36
Gram negative bacteraemia,Jul,2021/22,263,193,70,263747.15068,99.72,26.54,35906,7.32,1.95
Klebsiella sp bacteraemia,Jul,2021/22,54,36,18,263747.15068,20.47,6.82,35906,1.5,0.5
MRSA bacteraemia,Jul,2021/22,6,3,3,263747.15068,2.27,1.14,35906,0.17,0.08
MSSA bacteraemia,Jul,2021/22,65,40,25,263747.15068,24.64,9.48,35906,1.81,0.7
P. aeruginosa bacteraemia,Jul,2021/22,13,10,3,263747.15068,4.93,1.14,35906,0.36,0.08
S. aureus bacteraemia,Jul,2021/22,71,43,28,263747.15068,26.92,10.62,35906,1.98,0.78
C. difficile,Jul,2022/23,118,57,61,265974.90411,44.37,22.93,34183,3.45,1.78
E. coli bacteraemia,Jul,2022/23,187,138,49,265974.90411,70.31,18.42,34183,5.47,1.43
Gram negative bacteraemia,Jul,2022/23,249,176,73,265974.90411,93.62,27.45,34183,7.28,2.14
Klebsiella sp bacteraemia,Jul,2022/23,51,33,18,265974.90411,19.17,6.77,34183,1.49,0.53
MRSA bacteraemia,Jul,2022/23,6,3,3,265974.90411,2.26,1.13,34183,0.18,0.09
MSSA bacteraemia,Jul,2022/23,68,41,27,265974.90411,25.57,10.15,34183,1.99,0.79
P. aeruginosa bacteraemia,Jul,2022/23,11,5,6,265974.90411,4.14,2.26,34183,0.32,0.18
S. aureus bacteraemia,Jul,2022/23,74,44,30,265974.90411,27.82,11.28,34183,2.16,0.88
C. difficile,Jul,2023/24,89,46,43,268757.60001,33.12,16.0,38275,2.33,1.12
E. coli bacteraemia,Jul,2023/24,197,154,43,268757.60001,73.3,16.0,38275,5.15,1.12
Gram negative bacteraemia,Jul,2023/24,267,201,66,268757.60001,99.35,24.56,38275,6.98,1.72
Klebsiella sp bacteraemia,Jul,2023/24,57,40,17,268757.60001,21.21,6.33,38275,1.49,0.44
MRSA bacteraemia,Jul,2023/24,7,4,3,268757.60001,2.6,1.12,38275,0.18,0.08
MSSA bacteraemia,Jul,2023/24,63,51,12,268757.60001,23.44,4.46,38275,1.65,0.31
P. aeruginosa bacteraemia,Jul,2023/24,13,7,6,268757.60001,4.84,2.23,38275,0.34,0.16
S. aureus bacteraemia,Jul,2023/24,70,55,15,268757.60001,26.05,5.58,38275,1.83,0.39
C. difficile,Jul,2024/25,137,83,54,268023.28961,51.11,20.15,39685,3.45,1.36
E. coli bacteraemia,Jul,2024/25,185,141,44,268023.28961,69.02,16.42,39685,4.66,1.11
Gram negative bacteraemia,Jul,2024/25,270,193,77,268023.28961,100.74,28.73,39685,6.8,1.94
Klebsiella sp bacteraemia,Jul,2024/25,71,46,25,268023.28961,26.49,9.33,39685,1.79,0.63
MRSA bacteraemia,Jul,2024/25,10,6,4,268023.28961,3.73,1.49,39685,0.25,0.1
MSSA bacteraemia,Jul,2024/25,72,51,21,268023.28961,26.86,7.84,39685,1.81,0.53
P. aeruginosa bacteraemia,Jul,2024/25,14,6,8,268023.28961,5.22,2.98,39685,0.35,0.2
S. aureus bacteraemia,Jul,2024/25,82,57,25,268023.28961,30.59,9.33,39685,2.07,0.63
C. difficile,Jul,2025/26,121,72,49,268757.60001,45.02,18.23,40542,2.98,1.21
E. coli bacteraemia,Jul,2025/26,196,148,48,268757.60001,72.93,17.86,40542,4.83,1.18
